b_number,gene_name
b0002,thrA
b0003,thrB
b0025,ribF
b0032,carA
b0033,carB
b0037,caiC
b0049,apaH
b0054,lptD
b0063,araB
b0066,thiQ
b0067,thiP
b0068,thiB
b0085,murE
b0086,murF
b0088,murD
b0091,murC
b0092,ddlB
b0103,coaE
b0151,fhuC
b0152,fhuD
b0153,fhuB
b0158,btuF
b0171,pyrH
b0185,accA
b0197,metQ
b0198,metI
b0199,metN
b0242,proB
b0335,prpE
b0365,tauA
b0366,tauB
b0367,tauC
b0381,ddlA
b0388,aroL
b0394,mak
b0417,thiL
b0444,queC
b0474,adk
b0477,gsk
b0484,copA
b0514,glxK
b0521,ybcF
b0522,purK
b0588,fepC
b0589,fepG
b0590,fepD
b0592,fepB
b0641,lptE
b0650,hscC
b0652,gltL
b0653,gltK
b0654,gltJ
b0655,gltI
b0696,kdpC
b0697,kdpB
b0698,kdpA
b0728,sucC
b0729,sucD
b0757,galK
b0763,modA
b0764,modB
b0765,modC
b0778,bioD
b0809,glnQ
b0810,glnP
b0811,glnH
b0829,gsiA
b0830,gsiB
b0831,gsiC
b0832,gsiD
b0854,potF
b0855,potG
b0856,potH
b0857,potI
b0860,artJ
b0861,artM
b0862,artQ
b0863,artI
b0864,artP
b0886,cydC
b0887,cydD
b0910,cmk
b0914,msbA
b0915,lpxK
b0931,pncB
b0933,ssuB
b0934,ssuC
b0936,ssuA
b1098,tmk
b1106,thiK
b1119,nagK
b1123,potD
b1124,potC
b1125,potB
b1126,potA
b1208,ispE
b1238,tdk
b1243,oppA
b1244,oppB
b1245,oppC
b1246,oppD
b1247,oppF
b1297,puuA
b1329,mppA
b1440,ydcS
b1441,ydcT
b1442,ydcU
b1443,ydcV
b1483,ddpF
b1484,ddpD
b1485,ddpC
b1486,ddpB
b1487,ddpA
b1511,lsrK
b1513,lsrA
b1514,lsrC
b1515,lsrD
b1516,lsrB
b1636,pdxY
b1640,anmK
b1676,pykF
b1679,sufE
b1680,sufS
b1681,sufD
b1682,sufC
b1683,sufB
b1709,btuD
b1711,btuC
b1723,pfkB
b1849,purT
b1854,pykA
b1857,znuA
b1858,znuC
b1859,znuB
b1900,araG
b1901,araF
b1917,yecC
b1918,yecS
b1920,fliY
b1993,cobU
b2066,udk
b2103,thiD
b2104,thiM
b2128,yehW
b2129,yehX
b2130,yehY
b2131,osmF
b2148,mglC
b2149,mglA
b2150,mglB
b2166,psuK
b2168,fruK
b2177,yejA
b2178,yejB
b2179,yejE
b2180,yejF
b2197,ccmE
b2198,ccmD
b2199,ccmC
b2200,ccmB
b2201,ccmA
b2296,ackA
b2306,hisP
b2307,hisM
b2308,hisQ
b2309,hisJ
b2310,argT
b2315,folC
b2316,accD
b2388,glk
b2418,pdxK
b2422,cysA
b2423,cysW
b2424,cysU
b2425,cysP
b2476,purC
b2499,purM
b2501,ppk
b2518,ndk
b2557,purL
b2615,nadK
b2677,proV
b2678,proW
b2679,proX
b2688,gshA
b2750,cysC
b2780,pyrG
b2803,fucK
b2926,pgk
b2947,gshB
b2988,gss
b3052,hldE
b3115,tdcD
b3124,garK
b3199,lptC
b3200,lptA
b3201,lptB
b3222,nanK
b3255,accB
b3256,accC
b3374,frlD
b3390,aroK
b3403,pck
b3409,feoB
b3437,gntK
b3450,ugpC
b3451,ugpE
b3452,ugpA
b3453,ugpB
b3454,livF
b3455,livG
b3456,livM
b3457,livH
b3458,livK
b3460,livJ
b3469,zntA
b3476,nikA
b3477,nikB
b3478,nikC
b3479,nikD
b3480,nikE
b3502,arsB
b3526,kdgK
b3540,dppF
b3541,dppD
b3542,dppC
b3543,dppB
b3544,dppA
b3564,xylB
b3566,xylF
b3567,xylG
b3568,xylH
b3580,lyxK
b3625,waaY
b3630,waaP
b3648,gmk
b3693,dgoK
b3725,pstB
b3726,pstA
b3727,pstC
b3728,pstS
b3731,atpC
b3732,atpD
b3733,atpG
b3734,atpA
b3735,atpH
b3736,atpF
b3737,atpE
b3738,atpB
b3739,atpI
b3748,rbsD
b3749,rbsA
b3750,rbsC
b3751,rbsB
b3752,rbsK
b3870,glnA
b3883,yihV
b3904,rhaB
b3916,pfkA
b3917,sbp
b3926,glpK
b3940,metL
b3959,argB
b3974,coaA
b4005,purD
b4024,lysC
b4032,malG
b4033,malF
b4034,malE
b4035,malK
b4042,dgkA
b4069,acs
b4084,alsK
b4086,alsC
b4087,alsA
b4088,alsB
b4094,phnN
b4104,phnE
b4105,phnD
b4106,phnC
b4161,rsgA
b4227,ytfQ
b4230,ytfT
b4231,yjfF
b4233,mpl
b4242,mgtA
b4261,lptF
b4262,lptG
b4268,idnK
b4287,fecE
b4288,fecD
b4289,fecC
b4290,fecB
b4460,araH
b4485,ytfR
b4513,kdpF
