b_number,gene_name,reactions
b0002,thrA,ASPK
b0003,thrB,4HTHRK|HSK
b0025,ribF,RBFK
b0032,carA,CBPS
b0033,carB,CBPS
b0037,caiC,CRNCAL2|CRNDCAL2|CTBTCAL2
b0049,apaH,AP5AH
b0054,lptD,ACOLIPAabctex|CLIPAabctex|COLIPAPabctex|COLIPAabctex|ECA4COLIPAabctex|ENLIPAabctex|K2L4Aabctex|LIPAabctex|O16A4COLIPAabctex
b0063,araB,RBK_L1|XYLK|XYLK2
b0066,thiQ,THMabcpp
b0067,thiP,THMabcpp
b0068,thiB,THMabcpp
b0085,murE,UAAGDS
b0086,murF,UGMDDS
b0088,murD,UAMAGS
b0091,murC,UAMAS
b0092,ddlB,ALAALAr
b0103,coaE,DPCOAK
b0151,fhuC,ARBTNabcpp|CPGNabcpp|FE3HOXabcpp|FECRMabcpp|FEOXAMabcpp
b0152,fhuD,ARBTNabcpp|CPGNabcpp|FE3HOXabcpp|FECRMabcpp|FEOXAMabcpp
b0153,fhuB,ARBTNabcpp|CPGNabcpp|FE3HOXabcpp|FECRMabcpp|FEOXAMabcpp
b0158,btuF,ADOCBLabcpp|CBIuabcpp|CBL1abcpp
b0171,pyrH,UMPK
b0185,accA,ACCOAC
b0197,metQ,METDabcpp|METabcpp
b0198,metI,METDabcpp|METabcpp
b0199,metN,METDabcpp|METabcpp
b0242,proB,GLU5K
b0335,prpE,ACCOAL
b0365,tauA,BUTSO3abcpp|ISETACabcpp|TAURabcpp
b0366,tauB,BUTSO3abcpp|ISETACabcpp|TAURabcpp
b0367,tauC,BUTSO3abcpp|ISETACabcpp|TAURabcpp
b0381,ddlA,ALAALAr
b0388,aroL,SHKK
b0394,mak,HEX7
b0417,thiL,TMPK
b0444,queC,CCGS
b0474,adk,ADK1|ADNK1|DADK|NDPK1|NDPK2|NDPK3|NDPK4|NDPK5|NDPK6|NDPK7|NDPK8
b0477,gsk,GSNK|INSK
b0484,copA,CU1abcpp
b0514,glxK,GLYCK
b0521,ybcF,CBMKr
b0522,purK,AIRC2
b0588,fepC,DHBSZ3FEabcpp|FEENTERabcpp
b0589,fepG,DHBSZ3FEabcpp|FEENTERabcpp
b0590,fepD,DHBSZ3FEabcpp|FEENTERabcpp
b0592,fepB,DHBSZ3FEabcpp|FEENTERabcpp
b0641,lptE,ACOLIPAabctex|CLIPAabctex|COLIPAPabctex|COLIPAabctex|ECA4COLIPAabctex|ENLIPAabctex|K2L4Aabctex|LIPAabctex|O16A4COLIPAabctex
b0650,hscC,NTP1
b0652,gltL,ASPabcpp|GLUabcpp
b0653,gltK,ASPabcpp|GLUabcpp
b0654,gltJ,ASPabcpp|GLUabcpp
b0655,gltI,ASPabcpp|GLUabcpp
b0696,kdpC,Kabcpp
b0697,kdpB,Kabcpp
b0698,kdpA,Kabcpp
b0728,sucC,SUCOAS
b0729,sucD,SUCOAS
b0757,galK,GALKr
b0763,modA,MOBDabcpp|SULabcpp|TUNGSabcpp
b0764,modB,MOBDabcpp|SULabcpp|TUNGSabcpp
b0765,modC,MOBDabcpp|SULabcpp|TUNGSabcpp
b0778,bioD,DBTS
b0809,glnQ,GLNabcpp
b0810,glnP,GLNabcpp
b0811,glnH,GLNabcpp
b0829,gsiA,GTHRDabcpp
b0830,gsiB,GTHRDabcpp
b0831,gsiC,GTHRDabcpp
b0832,gsiD,GTHRDabcpp
b0854,potF,PTRCabcpp
b0855,potG,PTRCabcpp
b0856,potH,PTRCabcpp
b0857,potI,PTRCabcpp
b0860,artJ,ARGabcpp
b0861,artM,ARGabcpp
b0862,artQ,ARGabcpp
b0863,artI,ARGabcpp
b0864,artP,ARGabcpp
b0886,cydC,CYSabc2pp|GTHRDabc2pp
b0887,cydD,CYSabc2pp|GTHRDabc2pp
b0910,cmk,CYTK1|CYTK2|UMPK
b0914,msbA,COLIPAabcpp|K2L4Aabcpp|LIPACabcpp|LIPAabcpp|PA120abcpp|PA140abcpp|PA141abcpp|PA160abcpp|PA161abcpp|PA180abcpp|PA181abcpp|PE120abcpp|PE140abcpp|PE141abcpp|PE160abcpp|PE161abcpp|PE180abcpp|PE181abcpp|PG120abcpp|PG140abcpp|PG141abcpp|PG160abcpp|PG161abcpp|PG180abcpp|PG181abcpp|PGP120abcpp|PGP140abcpp|PGP141abcpp|PGP160abcpp|PGP161abcpp|PGP180abcpp|PGP181abcpp
b0915,lpxK,TDSK
b0931,pncB,NAMNPP
b0933,ssuB,BUTSO3abcpp|ETHSO3abcpp|ISETACabcpp|MSO3abcpp|SULFACabcpp
b0934,ssuC,BUTSO3abcpp|ETHSO3abcpp|ISETACabcpp|MSO3abcpp|SULFACabcpp
b0936,ssuA,BUTSO3abcpp|ETHSO3abcpp|ISETACabcpp|MSO3abcpp|SULFACabcpp
b1098,tmk,DTMPK
b1106,thiK,TMK
b1119,nagK,ACGAMK
b1123,potD,PTRCabcpp|SPMDabcpp
b1124,potC,PTRCabcpp|SPMDabcpp
b1125,potB,PTRCabcpp|SPMDabcpp
b1126,potA,PTRCabcpp|SPMDabcpp
b1208,ispE,CDPMEK
b1238,tdk,DURIK1|TMDK1
b1243,oppA,3PEPTabcpp|4PEPTabcpp
b1244,oppB,3PEPTabcpp|4PEPTabcpp
b1245,oppC,3PEPTabcpp|4PEPTabcpp
b1246,oppD,3PEPTabcpp|4PEPTabcpp
b1247,oppF,3PEPTabcpp|4PEPTabcpp
b1297,puuA,GGPTRCS
b1329,mppA,3PEPTabcpp
b1440,ydcS,PTRCabcpp|SPMDabcpp
b1441,ydcT,PTRCabcpp|SPMDabcpp
b1442,ydcU,PTRCabcpp|SPMDabcpp
b1443,ydcV,PTRCabcpp|SPMDabcpp
b1483,ddpF,ALAALAabcpp
b1484,ddpD,ALAALAabcpp
b1485,ddpC,ALAALAabcpp
b1486,ddpB,ALAALAabcpp
b1487,ddpA,ALAALAabcpp
b1511,lsrK,AI2K
b1513,lsrA,AI2abcpp
b1514,lsrC,AI2abcpp
b1515,lsrD,AI2abcpp
b1516,lsrB,AI2abcpp
b1636,pdxY,PYDXK
b1640,anmK,ANHMK
b1676,pykF,PYK
b1679,sufE,S2FE2SR|S2FE2SS|S2FE2SS2
b1680,sufS,S2FE2SR|S2FE2SS|S2FE2SS2
b1681,sufD,S2FE2SR|S2FE2SS|S2FE2SS2
b1682,sufC,S2FE2SR|S2FE2SS|S2FE2SS2
b1683,sufB,S2FE2SR|S2FE2SS|S2FE2SS2
b1709,btuD,ADOCBLabcpp|CBIuabcpp|CBL1abcpp
b1711,btuC,ADOCBLabcpp|CBIuabcpp|CBL1abcpp
b1723,pfkB,PFK
b1849,purT,ACKr|GART
b1854,pykA,PYK
b1857,znuA,ZNabcpp
b1858,znuC,ZNabcpp
b1859,znuB,ZNabcpp
b1900,araG,ARBabcpp
b1901,araF,ARBabcpp
b1917,yecC,CYSabcpp
b1918,yecS,CYSabcpp
b1920,fliY,CYSabcpp
b1993,cobU,ADOCBIK
b2066,udk,CYTDK1|URIK1
b2103,thiD,HMPK1|PMPK
b2104,thiM,HETZK
b2128,yehW,CHLabcpp|GLYBabcpp
b2129,yehX,CHLabcpp|GLYBabcpp
b2130,yehY,CHLabcpp|GLYBabcpp
b2131,osmF,CHLabcpp|GLYBabcpp
b2148,mglC,GALabcpp|GLCabcpp
b2149,mglA,GALabcpp|GLCabcpp
b2150,mglB,GALabcpp|GLCabcpp
b2166,psuK,PSURIK
b2168,fruK,FRUK
b2177,yejA,3PEPTabcpp|4PEPTabcpp
b2178,yejB,3PEPTabcpp|4PEPTabcpp
b2179,yejE,3PEPTabcpp|4PEPTabcpp
b2180,yejF,3PEPTabcpp|4PEPTabcpp
b2197,ccmE,PHEMEabcpp
b2198,ccmD,PHEMEabcpp
b2199,ccmC,PHEMEabcpp
b2200,ccmB,PHEMEabcpp
