Reaction,EC-Number,Substrates,Products of reaction,Enzymes of a reaction,Genes of a reaction,Pathways of a reaction
"D-glycero-beta-D-manno-heptose 1,7-bisphosphate + H2O  ->  D-glycero-beta-D-manno-heptose 1-phosphate + phosphate",EC-3.1.3.82,"H<sub>2</sub>O // D-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose 1,7-bisphosphate // D-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose 1-phosphate // phosphate",D-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose 1-phosphate // phosphate,"D-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose-1,7-bisphosphate 7-phosphatase",gmhB,ADP-L-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose biosynthesis
(R)-4'-phosphopantothenoyl-L-cysteine + H+  ->  CO2 + 4'-phosphopantetheine,EC-4.1.1.36,(R)-4'-phosphopantothenoyl-L-cysteine // H<SUP>+</SUP> // 4'-phosphopantetheine // CO<SUB>2</SUB>,4'-phosphopantetheine // CO<SUB>2</SUB>,fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase,dfp,coenzyme A biosynthesis I (bacteria)
3-hydroxy-cis-vaccenoyl-[acyl-carrier protein] dehydratase,EC-4.2.1.59,"a (3<i>R</i>,11<i>Z</i>)-3-hydroxyoctadec-11-enoyl-[acp] // a (2<i>E</i>,11<i>Z</i>)-octadeca-2,11-dienoyl-[acp] // H<sub>2</sub>O","a (2<i>E</i>,11<i>Z</i>)-octadeca-2,11-dienoyl-[acp] // H<sub>2</sub>O",3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,fabZ,<i>cis</i>-vaccenate biosynthesis
2 maltose  =  D-glucopyranose + maltotriose,,maltose // D-glucopyranose // maltotriose,D-glucopyranose // maltotriose,4-&alpha;-glucanotransferase,malQ,
palmitoleoyl-[acp] + malonyl-[acp] + H+  ->  (11Z)-3-oxooctadec-11-enoyl-[acp] + CO2 + an acyl-carrier protein,EC-2.3.1.179,H<SUP>+</SUP> // a malonyl-[acp] // a palmitoleoyl-[acp] // an (11<i>Z</i>)-3-oxooctadec-11-enoyl-[acp] // CO<SUB>2</SUB> // a soluble [acyl-carrier protein],an (11<i>Z</i>)-3-oxooctadec-11-enoyl-[acp] // CO<SUB>2</SUB> // a soluble [acyl-carrier protein],3-oxoacyl-[acyl carrier protein] synthase 1 // 3-oxoacyl-[acyl carrier protein] synthase 2,fabF,<i>cis</i>-vaccenate biosynthesis
"2-oxepin-2(3H)-ylideneacetyl-CoA + H2O  ->  3-oxo-5,6-didehydrosuberyl-CoA semialdehyde",EC-3.3.2.12,"H<sub>2</sub>O // 2-oxepin-2(3H)-ylideneacetyl-CoA // 3-oxo-5,6-didehydrosuberyl-CoA semialdehyde","3-oxo-5,6-didehydrosuberyl-CoA semialdehyde","fused 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase and oxepin-CoA hydrolase",paaZ,phenylacetate degradation I (aerobic)
chorismate + ammonia + H+  ->  (2S)-2-amino-4-deoxy-chorismate + H2O,,H<SUP>+</SUP> // ammonia // chorismate // (2S)-2-amino-4-deoxy-chorismate // H<sub>2</sub>O,(2S)-2-amino-4-deoxy-chorismate // H<sub>2</sub>O,anthranilate synthase subunit TrpE // anthranilate synthase subunit TrpD,trpE // trpD,
3-(N-morpholino)propanesulfonate + FMNH2 + dioxygen  ->  3-(N-morpholino)propanal + sulfite + FMN + H2O + 2 H+,EC-1.14.14.5,dioxygen // FMNH<SUB>2</SUB> // 3-(<i>N</i>-morpholino)propanesulfonate // 3-(<i>N</i>-morpholino)propanal // sulfite // H<sub>2</sub>O // FMN // H<SUP>+</SUP>,3-(<i>N</i>-morpholino)propanal // sulfite // H<sub>2</sub>O // FMN // H<SUP>+</SUP>,FMNH<sub>2</sub>-dependent alkanesulfonate monooxygenase,,
aldehydo-D-galacturonate  <-->  D-tagaturonate,EC-5.3.1.12,<i>aldehydo</i>-D-galacturonate // D-tagaturonate,D-tagaturonate,D-glucoronate/D-galacturonate isomerase,uxaC,D-galacturonate degradation I
dTDP + ATP  ->  dTTP + ADP,EC-2.7.4.6,ATP // dTDP // dTTP // ADP,dTTP // ADP,adenylate kinase // nucleoside diphosphate kinase,ndk // adk,pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II // pyrimidine deoxyribonucleotide phosphorylation // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I // superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)
