line,gene,is_ATP_gene
Line 1,ycce family protein,False
Line 1,ftsp,False
Line 1,purc,True
Line 1,nicotinamide mononucleotide deamidase-related protein yfay,False
Line 1,pept,False
Line 1,yfhm,False
Line 1,dapd,False
Line 1,qseb,False
Line 1,rcsc,True
Line 1,duf1998 domain-containing protein,False
Line 1,mscm,False
Line 1,nudf,False
Line 1,ptsp,False
Line 1,purh,False
Line 1,srmb,False
Line 1,ygfz,False
Line 1,hyfh,False
Line 1,3-phenylpropionate mfs transporter,False
Line 1,acea,False
Line 1,acef,False
Line 1,acetyl-coa c-acetyltransferase,False
Line 1,acna,False
Line 1,acyl coa:acetate/3-ketoacid coa transferase,False
Line 1,agar,False
Line 1,ahr,False
Line 1,aldose 1-epimerase,False
Line 1,alld,False
Line 1,alsa,False
Line 1,aminopeptidase,False
Line 1,antibiotic biosynthesis monooxygenase,False
Line 1,aspartate-semialdehyde dehydrogenase,False
Line 1,bamb,False
Line 1,bamc,False
Line 1,bett,False
Line 1,caia,False
Line 1,carboxymuconolactone decarboxylase family protein,False
Line 1,crl,False
Line 1,csda,False
Line 1,cusa,False
Line 1,cyob,False
Line 1,cytochrome o ubiquinol oxidase subunit iii,False
Line 1,dape,False
Line 1,dcp,False
Line 1,ddla,True
Line 1,deob,False
Line 1,diguanylate cyclase,False
Line 1,ding,False
Line 1,dmt family transporter,False
Line 1,dnax,False
Line 1,duf2500 domain-containing protein,False
Line 1,duf2502 domain-containing protein,False
Line 1,duf2773 domain-containing bactofilin,False
Line 1,duf853 domain-containing protein,False
Line 1,ebga,False
Line 1,ef2563 family selenium-dependent molybdenum hydroxylase system protein,False
Line 1,emra,False
Line 1,epmb,False
Line 1,epta,False
Line 1,era,False
Line 1,eutb,False
Line 1,eutr,False
Line 1,euts,False
Line 1,exut,False
Line 1,fad-binding oxidoreductase,False
Line 1,fdng,False
Line 1,feab,False
Line 1,fepc,False
Line 1,fimbrial biogenesis usher protein,False
Line 1,fimbrial protein,False
Line 1,fimbrial protein,False
Line 1,fldb,False
Line 1,flotillin family protein,False
Line 1,frda,False
Line 1,fsr,False
Line 1,fsr,False
Line 1,ftse,False
Line 1,fuck,True
Line 1,fuco,False
Line 1,fumc,False
Line 1,glrr,False
Line 1,glucarate dehydratase-related protein,False
Line 1,glycoside hydrolase family 25 protein,False
Line 1,gntp,False
Line 1,gspj,False
Line 1,gspo,False
Line 1,gudp,False
Line 1,hemx,False
Line 1,hsca,True
Line 1,hsdm,False
Line 1,htpg,False
Line 1,hupb,False
