gene,snp_count
hypothetical protein,33
wzy,12
mfs transporter,9
fimbrial protein,9
deob,9
viob,7
rfbb,7
wcaj,6
rfba,6
rfbc,6
rfbd,6
vioa,6
wbbd,6
galf,6
wcak,6
wcal,6
wcam,6
abc transporter permease,6
wzxc,6
ggdef domain-containing protein,5
cyob,5
evgs,5
alpha-2-macroglobulin family protein,5
fimbrial biogenesis outer membrane usher protein,5
ag43,5
multidrug efflux rnd transporter permease subunit,5
recj,5
tsx,5
autotransporter outer membrane beta-barrel domain-containing protein,4
diguanylate cyclase,4
replication endonuclease,4
sdr family oxidoreductase,4
purl,4
rne,3
tkt,3
tonb-dependent receptor,3
yhdp,3
purm,3
fimbrial biogenesis usher protein,3
eal domain-containing protein,3
lysr family transcriptional regulator,3
prophage tail fiber n-terminal domain-containingprotein,3
fecb,3
zinc-binding dehydrogenase,3
mdtb,3
mltd,3
fumc,3
acef,3
eutg,3
ldtd,3
hsca,3
naga,3
pykf,3
htpg,3
kef family k(+) transporter,3
nuof,3
ydbh family protein,3
duf4049 domain-containing protein,3
tcyp,3
dnax,3
glpk,3
asps,3
purc,3
sbcc,3
protein serac1,3
tyrosine-type recombinase/integrase,3
rlpa,3
odhb,3
fepd,2
rimk,2
reco,2
clsc,2
speb,2
lysozyme inhibitor lpri family protein,2
rhs repeat-associated core domain-containing protein,2
prpc,2
pepa,2
prc,2
duf1116 domain-containing protein,2
acyltransferase,2
duf418 family protein,2
phage tail protein,2
acna,2
acyl coa:acetate/3-ketoacid coa transferase,2
yegi,2
yeej,2
pdef,2
parc,2
rlmi,2
rodz,2
hyfr,2
recc,2
csta,2
flha,2
yfal,2
recb,2
nuog,2
ycce family protein,2
molybdopterin-dependent oxidoreductase mo/fe-s-binding subunit,2
duf441 domain-containing protein,2
serine dehydratase subunit alpha family protein,2
nage,2
duf1998 domain-containing protein,2
ptsp,2
dnae,2
leus,2
wcac,2
recf,2
glgp,2
aldo/keto reductase family oxidoreductase,2
duf2625 domain-containing protein,2
cusa,2
carboxymuconolactone decarboxylase family protein,2
cmob,2
amph,2
integrase arm-type dna-binding domain-containingprotein,2
is3 family transposase,2
puta,2
lysc,2
malk,2
citc,2
mnmc,2
n-acetyltransferase,2
phoa,2
alsk,2
paob,2
sufd,2
dpib,2
cpdb,2
smdb family multidrug efflux abc transporter permease/atp-binding protein,2
dmt family transporter,2
deor,2
napa,2
fuci,2
phosphoethanolamine transferase,2
putative frv operon regulatory protein,2
emra,2
guac,2
dxs,2
phage baseplate assembly protein v,2
pflb,2
ding,2
gspe,2
nuon,2
ndh,2
psie,2
arna,2
eutr,2
flotillin family protein,2
frda,2
fsr,2
emta,2
duf2300 domain-containing protein,2
dld,2
gsic,2
entf,2
shet2/espl2 family type iii secretion system effector toxin,2
paod,2
pbga,2
ptra,2
phage portal protein,2
infb,2
argh,2
astd,2
nicotinamide mononucleotide deamidase-related protein yfay,2
polb,2
atp-dependent helicase,2
blaec,2
ygfz,2
ftsk,2
phnk,2
thrs,2
ribf,2
phage tail sheath protein,2
lamb,2
eutl,2
mutl,2
yebt,2
rsxd,2
pdxj,2
nnr,2
fusc family protein,2
hyae,2
bifunctional 3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase,2
glutathione-dependent formaldehyde dehydrogenase,2
wgr and duf4132 domain-containing protein,2
isph,2
porin,2
spea,2
prepilin peptidase-dependent protein,2
ppsa,2
sufs,2
murp,2
otsa,2
mhpr,2
amino acid permease,2
ychh,2
rnb,2
mcrb,2
lacz,2
appa,2
abc transporter substrate-binding protein,2
mrda,2
acrd,2
anmk,2
potf,2
sulfatase-like hydrolase/transferase,2
ldha,2
bifunctional alpha/beta hydrolase/class i sam-dependent methyltransferase,2
hlyc/corc family transporter,2
msck,2
nad(p)-dependent oxidoreductase,2
ppid,1
ydil family protein,1
prob,1
4fe-4s binding protein,1
tetratricopeptide repeat-containing protein,1
pppa,1
fusa,1
aas,1
glne,1
phage late control d family protein,1
rpon,1
gltb,1
hpad,1
aldehyde ferredoxin oxidoreductase,1
bola,1
mlaa,1
cpsg,1
mlaf,1
cpsb,1
mpl,1
msra,1
comec family protein,1
coda,1
clsb,1
citg,1
osme,1
citf,1
osmf,1
pane,1
pgpa,1
bglj,1
baseplate assembly protein,1
aspartate:alanine antiporter,1
apbe,1
anion transporter,1
anion permease,1
gspd,1
amtb,1
alls,1
pdeb,1
allr,1
alle,1
alkb,1
pepp,1
fre,1
mdth,1
modc,1
tonb-dependent receptor plug domain-containing protein,1
tyna,1
macb,1
hisa,1
maca,1
lyss,1
lpxk,1
hisp,1
ispe,1
ion channel protein,1
upf0104 family protein,1
hcxa,1
gsid,1
flge,1
uraa,1
duf4132 domain-containing protein,1
isovaleryl-coa dehydrogenase,1
hprs,1
cmoa,1
class i sam-dependent methyltransferase,1
btue,1
blc,1
add,1
wgr domain-containing protein,1
hpab,1
xtha,1
yajq,1
ygey family selenium metabolism-linked hydrolase,1
abrb family transcriptional regulator,1
maop,1
katg,1
gtp pyrophosphokinase,1
thim,1
hypf,1
glycine zipper 2tm domain-containing protein,1
gcl,1
pseudouridine kinase,1
rida family protein,1
rpsd,1
hpar,1
flda,1
rutr,1
serc,1
flavin reductase family protein,1
sgrr,1
apt,1
yhev family putative metal-binding protein,1
tolq,1
sh3 domain-containing protein,1
thil,1
tetr family transcriptional regulator,1
spee,1
sodb,1
setb,1
sbcb,1
sufb,1
kdgr,1
rusa family crossover junction endodeoxyribonuclease,1
taua,1
hcar,1
plsx,1
pabb,1
leua,1
mdtf,1
cuer,1
feca,1
biop,1
chac,1
cysj,1
daca,1
degq,1
dkga,1
dppa,1
dsbd,1
dtpc,1
fggy-family carbohydrate kinase,1
arof,1
flgi,1
gard,1
ghxq,1
gltp,1
gpr,1
gspk,1
hemw,1
hold,1
hupa,1
bifunctional 3-demethylubiquinone 3-o-methyltransferase/2-octaprenyl-6-hydroxy phenol methylase,1
arac family transcriptional regulator,1
dacd,1
ybii,1
usha,1
uvrb,1
virk/ybjx family protein,1
wcae,1
wza,1
yahk,1
ybak,1
ybgs-like family protein,1
ybib,1
yccx,1
ampg,1
ycdy,1
ycei family protein,1
yche,1
ydep,1
yejf,1
yfap family protein,1
yjej family protein,1
