gene	n_atp_consuming_reactions
accC	1
ackA	2
acs	2
adk	8
alaS	4
alkB	1
allK	2
alsK	1
anmK	1
appA	1
araB	1
arcB	1
argB	1
argG	1
argK	1
argS	2
aroK	1
aroL	1
asnA	1
asnB	3
asnS	2
aspS	3
atoS	1
baeS	1
barA	1
basS	1
bidA	2
bioD	2
bipA	1
birA	2
btsS	1
btuR	2
caiC	1
carA	2
carB	2
ccmA	1
ccmB	1
citC	1
citG	1
cmk	2
coaA	2
coaD	1
coaE	1
cobU	2
cpsB	1
cpxA	1
creC	1
cusS	1
cyaA	1
cysC	1
cysD	1
cysN	1
cysS	2
dcuS	1
ddlA	1
ddlB	1
der	1
dgcC	1
dgcE	1
dgcJ	1
dgcM	1
dgcN	1
dgcP	1
dgcQ	1
dgcT	1
dgcZ	1
dgkA	1
dgoK	1
dgt	1
dosC	1
dpiB	1
entB	2
entD	2
entE	4
entF	2
envZ	1
epmA	1
era	1
etk	1
evgS	1
fadD	1
fadK	1
fau	1
folC	4
folE	1
folK	1
frlD	1
fruK	1
fucK	2
galK	1
garK	1
glgC	1
glk	2
glnA	1
glnE	1
glnL	1
glnS	2
glpK	1
glrK	1
gltX	2
gluQ	1
glxK	1
glyQ	1
glyS	1
gmk	2
gntK	1
gshA	1
gshB	1
gsk	2
gss	1
guaA	2
hflX	1
hisG	1
hisI	1
hisS	2
hldE	2
hprS	1
hscA	1
hscB	1
hypB	1
hypD	1
hypE	1
hypF	2
idnK	1
ileS	5
ispE	1
kdgK	1
kdpD	2
lepA	1
leuS	3
lhr	1
lplA	5
lpxK	1
lsrK	1
lysC	1
lysS	2
lysU	10
lyxK	2
mak	2
mcrB	1
mcrC	1
menE	1
metG	5
metK	1
metL	1
mnmA	1
mnmE	3
mnmG	3
moaA	1
moaD	1
mobA	3
moeB	1
mogA	1
mpl	2
murC	1
murD	1
murE	1
murF	1
mutT	2
nadD	1
nadE	1
nadK	1
nadR	2
nagK	1
nanK	1
narQ	1
narX	1
ndk	9
nrdD	2
nudB	1
nudG	1
obgE	1
paaK	1
panC	1
pck	1
pcnB	1
pdxK	5
pdxY	1
pfkA	2
pfkB	2
pgk	1
pheS	3
pheT	3
phnI	2
phnN	1
phoQ	1
phoR	1
pncB	1
ppk	1
ppsA	1
proB	1
proS	4
prpE	1
prs	1
psuK	1
purA	1
purC	1
purD	1
purK	1
purL	1
purM	1
purT	2
puuA	1
pxpA	1
pxpB	1
pxpC	1
pykA	1
pykF	1
pyrG	2
pyrH	1
pyrS	1
qseC	1
queC	3
radD	1
rbsK	1
rcsC	1
relA	2
rhaB	1
ribA	1
ribF	2
rimK	1
rsgA	1
rstB	1
rtcA	1
rtcB	1
selB	1
selD	1
selO	1
serS	3
slyD	1
spoT	2
srkA	1
sucC	1
sucD	1
tcdA	1
tdcD	1
tdk	2
thiD	2
thiF	1
thiK	1
thiL	1
thiM	3
thrA	1
thrB	2
thrS	3
tilS	1
tmcA	1
tmk	1
torS	1
trpS	3
tsaC	1
tyrS	3
udk	4
uhpB	1
valS	5
waaP	2
waaY	1
wzc	1
xylB	2
ybdK	1
ycaO	1
yceF	1
ychF	1
ydjH	1
yeaG	1
yegS	1
yeiR	1
ygiC	1
yihV	1
yjfC	1
yjiA	1
zraS	1
