CDS,gene_name,b_number
alsA CDS,alsA,b4087
alsK CDS,alsK,b4084
alsK CDS,alsK,b4084
alsK CDS,alsK,b4084
alsK CDS,alsK,b4084
anmK CDS,anmK,b1640
anmK CDS,anmK,b1640
araF CDS,araF,b1901
arsB CDS,arsB,b3502
btuD CDS,btuD,b1709
carB CDS,carB,b0033
ccmC CDS,ccmC,b2199
cysP CDS,cysP,b2425
cysP CDS,cysP,b2425
cysW CDS,cysW,b2423
cysW CDS,cysW,b2423
ddlA CDS,ddlA,b0381
dppA CDS,dppA,b3544
dppA CDS,dppA,b3544
fecB CDS,fecB,b4290
fecB CDS,fecB,b4290
fecB CDS,fecB,b4290
fecB CDS,fecB,b4290
feoB CDS,feoB,b3409
fepC CDS,fepC,b0588
fepD CDS,fepD,b0590
fepD CDS,fepD,b0590
fhuB CDS,fhuB,b0153
folC CDS,folC,b2315
frlD CDS,frlD,b3374
fucK CDS,fucK,b2803
fucK CDS,fucK,b2803
glpK CDS,glpK,b3926
glpK CDS,glpK,b3926
glpK CDS,glpK,b3926
glxK CDS,glxK,b0514
gshA CDS,gshA,b2688
gsiC CDS,gsiC,b0831
gsiC CDS,gsiC,b0831
gsiD CDS,gsiD,b0832
hisP CDS,hisP,b2306
hisQ CDS,hisQ,b2308
hldE CDS,hldE,b3052
hldE CDS,hldE,b3052
hldE CDS,hldE,b3052
ispE CDS,ispE,b1208
kdpA CDS,kdpA,b0698
kdpA CDS,kdpA,b0698
kdpA CDS,kdpA,b0698
lptD CDS,lptD,b0054
lptD CDS,lptD,b0054
lptF CDS,lptF,b4261
lptF CDS,lptF,b4261
lpxK CDS,lpxK,b0915
lysC CDS,lysC,b4024
lysC CDS,lysC,b4024
lyxK CDS,lyxK,b3580
lyxK CDS,lyxK,b3580
malE CDS,malE,b4034
malK CDS,malK,b4035
malK CDS,malK,b4035
metI CDS,metI,b0198
metN CDS,metN,b0199
mglC CDS,mglC,b2148
modB CDS,modB,b0764
modC CDS,modC,b0765
mpl CDS,mpl,b4233
murE CDS,murE,b0085
nadK CDS,nadK,b2615
nanK CDS,nanK,b3222
nanK CDS,nanK,b3222
nikA CDS,nikA,b3476
nikA CDS,nikA,b3476
nikE CDS,nikE,b3480
nikE CDS,nikE,b3480
oppA CDS,oppA,b1243
osmF CDS,osmF,b2131
pdxK CDS,pdxK,b2418
pfkA CDS,pfkA,b3916
pfkA CDS,pfkA,b3916
pncB CDS,pncB,b0931
potF CDS,potF,b0854
potF CDS,potF,b0854
proB CDS,proB,b0242
proV CDS,proV,b2677
proX CDS,proX,b2679
purC CDS,purC,b2476
purC CDS,purC,b2476
purC CDS,purC,b2476
purC CDS,purC,b2476
purD CDS,purD,b4005
purK CDS,purK,b0522
purL CDS,purL,b2557
purL CDS,purL,b2557
purL CDS,purL,b2557
purL CDS,purL,b2557
purM CDS,purM,b2499
purM CDS,purM,b2499
purM CDS,purM,b2499
pykF CDS,pykF,b1676
pykF CDS,pykF,b1676
pykF CDS,pykF,b1676
pyrH CDS,pyrH,b0171
pyrH CDS,pyrH,b0171
ribF CDS,ribF,b0025
ribF CDS,ribF,b0025
rsgA CDS,rsgA,b4161
rsgA CDS,rsgA,b4161
sucD CDS,sucD,b0729
sufB CDS,sufB,b1683
sufD CDS,sufD,b1681
sufD CDS,sufD,b1681
sufS CDS,sufS,b1680
sufS CDS,sufS,b1680
tauA CDS,tauA,b0365
tauB CDS,tauB,b0366
tdcD CDS,tdcD,b3115
thiB CDS,thiB,b0068
thiB CDS,thiB,b0068
thiL CDS,thiL,b0417
thiM CDS,thiM,b2104
thiP CDS,thiP,b0067
thiP CDS,thiP,b0067
udk CDS,udk,b2066
yejF CDS,yejF,b2180
