reaction	enzyme	gene
dTDP + ATP  ->  dTTP + ADP	adenylate kinase	ndk
dTDP + ATP  ->  dTTP + ADP	nucleoside diphosphate kinase	ndk
dTDP + ATP  ->  dTTP + ADP	adenylate kinase	adk
dTDP + ATP  ->  dTTP + ADP	nucleoside diphosphate kinase	adk
thiamine + ATP  ->  thiamine phosphate + ADP + H+	thiamine kinase	thiK
L-homoserine + ATP  ->  L-homoserine lactone + AMP + diphosphate	lysine&mdash	lysU
L-homoserine + ATP  ->  L-homoserine lactone + AMP + diphosphate	tRNA ligase	lysU
coenzyme A + L-carnitine + ATP  ->  (R)-carnitinyl-CoA + AMP + diphosphate	carnitine&mdash	caiC
coenzyme A + L-carnitine + ATP  ->  (R)-carnitinyl-CoA + AMP + diphosphate	CoA ligase	caiC
ATP + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate + L-aspartate  ->  ADP + 5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole + phosphate + H+	phosphoribosylaminoimidazole-succinocarboxamide synthase	purC
ATP + beta-nicotinate D-ribonucleotide + H+  ->  nicotinate adenine dinucleotide + diphosphate	nicotinate-nucleotide adenylyltransferase	nadD
2 ATP + 2 [corrinoid adenosyltranferase]-cob(I)inamide + 2 H+  ->  2 adenosylcobinamide + 2 triphosphate + 2 [corrinoid adenosyltransferase]	cobinamide	btuR
2 ATP + 2 [corrinoid adenosyltranferase]-cob(I)inamide + 2 H+  ->  2 adenosylcobinamide + 2 triphosphate + 2 [corrinoid adenosyltransferase]	cobalamin adenosyltransferase	btuR
a [K+ transporting P-type ATPase KdpB subunit]-L-serine + ATP  ->  a [K+ transporting P-type ATPase KdpB subunit]-O-phospho-L-serine + ADP + H+	serine histidine kinase KdpD	kdpD
ATP + a [protein]-L-serine  ->  ADP + a [protein]-O-phospho-L-serine + H+	stress response kinase A	
ATP + a [protein]-L-serine  ->  ADP + a [protein]-O-phospho-L-serine + H+	protein kinase YeaG	
ATP + beta-D-fructofuranose 1-phosphate  ->  ADP + beta-D-fructofuranose 1,6-bisphosphate + H+	1-phosphofructokinase	fruK
tRNAglu + L-glutamate + ATP  ->  L-glutamyl-[tRNAGlu] + AMP + diphosphate	glutamate&mdash	gltX
tRNAglu + L-glutamate + ATP  ->  L-glutamyl-[tRNAGlu] + AMP + diphosphate	tRNA ligase	gltX
ATP + 2-succinylbenzoate + coenzyme A  ->  AMP + 4-(2'-carboxyphenyl)-4-oxobutyryl-CoA + diphosphate	o-succinylbenzoate--CoA ligase	menE
(7R,8S)-8-amino-7-(carboxyamino)nonanoate + ATP  ->  dethiobiotin + ADP + phosphate + H+	dethiobiotin synthetase	bidA
(7R,8S)-8-amino-7-(carboxyamino)nonanoate + ATP  ->  dethiobiotin + ADP + phosphate + H+	dethiobiotin synthetase BidA	bidA
(7R,8S)-8-amino-7-(carboxyamino)nonanoate + ATP  ->  dethiobiotin + ADP + phosphate + H+	dethiobiotin synthetase	bioD
(7R,8S)-8-amino-7-(carboxyamino)nonanoate + ATP  ->  dethiobiotin + ADP + phosphate + H+	dethiobiotin synthetase BidA	bioD
GDP + ATP  ->  GTP + ADP	adenylate kinase	ndk
GDP + ATP  ->  GTP + ADP	nucleoside diphosphate kinase	ndk
GDP + ATP  ->  GTP + ADP	adenylate kinase	adk
GDP + ATP  ->  GTP + ADP	nucleoside diphosphate kinase	adk
N-acetyl-D-glucosamine + ATP  ->  N-acetyl-D-glucosamine 6-phosphate + ADP + H+	<i>N<	nagK
N-acetyl-D-glucosamine + ATP  ->  N-acetyl-D-glucosamine 6-phosphate + ADP + H+	i>-acetyl-D-glucosamine kinase	nagK
cob(I)alamin-[corrinoid adenosyltranferase] + ATP + H+  ->  adenosylcob(III)alamin-[corrinoid adenosyltranferase] + triphosphate	cobinamide	btuR
cob(I)alamin-[corrinoid adenosyltranferase] + ATP + H+  ->  adenosylcob(III)alamin-[corrinoid adenosyltranferase] + triphosphate	cobalamin adenosyltransferase	btuR
GTP:uridine 5'-phosphotransferase	uridine	udk
GTP:uridine 5'-phosphotransferase	cytidine kinase	udk
L-glutamate + 7,8-dihydropteroate + ATP  ->  ADP + 7,8-dihydrofolate monoglutamate + phosphate + H+	bifunctional folylpolyglutamate synthetase	folC
L-glutamate + 7,8-dihydropteroate + ATP  ->  ADP + 7,8-dihydrofolate monoglutamate + phosphate + H+	dihydrofolate synthetase	folC
dADP + ATP  ->  dATP + ADP	nucleoside diphosphate kinase	ndk
elongator tRNAMet + L-methionine + ATP  ->  L-methionyl-[elongator tRNAMet] + AMP + diphosphate	methionine&mdash	metG
elongator tRNAMet + L-methionine + ATP  ->  L-methionyl-[elongator tRNAMet] + AMP + diphosphate	tRNA ligase	metG
an N6-L-threonylcarbamoyladenine37 in tRNA + ATP  ->  a cyclic N6-L-threonylcarbamoyladenosine 37 in tRNA + ADP + phosphate	tRNA threonylcarbamoyladenosine dehydratase	tcdA
1,6-anhydro-N-acetyl-beta-D-muramate + ATP + H2O  ->  N-acetyl-D-muramate 6-phosphate + ADP + H+	anhydro-<i>N<	anmK
1,6-anhydro-N-acetyl-beta-D-muramate + ATP + H2O  ->  N-acetyl-D-muramate 6-phosphate + ADP + H+	i>-acetylmuramic acid kinase	anmK
ammonium + ATP + nicotinate adenine dinucleotide  ->  AMP + NAD+ + diphosphate + H+	NH<sub>3<	nadE
ammonium + ATP + nicotinate adenine dinucleotide  ->  AMP + NAD+ + diphosphate + H+	sub>-dependent NAD<sup>+<	nadE
ammonium + ATP + nicotinate adenine dinucleotide  ->  AMP + NAD+ + diphosphate + H+	sup> synthetase	nadE
spermidine + ATP + glutathione  ->  glutathionylspermidine + ADP + phosphate + H+	fused glutathionylspermidine amidase	gss
spermidine + ATP + glutathione  ->  glutathionylspermidine + ADP + phosphate + H+	glutathionylspermidine synthetase	gss
