thrL,thr operon leader peptide,944742
thrA,fused aspartate kinase/homoserine dehydrogenase 1,945803
thrB,homoserine kinase,947498
thrC,threonine synthase,945198
yaaX,DUF2502 domain-containing protein YaaX,944747
yaaA,DNA binding and peroxide stress response protein YaaA,944749
yaaJ,putative transporter YaaJ,944745
talB,transaldolase B,944748
mog,molybdopterin adenylyltransferase,944760
satP,acetate/succinate:H(+) symporter,944792
yaaW,putative enzyme-specific chaperone YaaW,944771
mbiA,uncharacterized protein MbiA,948295
yaaI,DUF2541 domain-containing protein YaaI,944751
dnaK,chaperone protein DnaK,944750
dnaJ,chaperone protein DnaJ,944753
insL1,IS186/IS421 family transposase,944754
mokC,regulatory protein MokC,944756
hokC,small toxic polypeptide HokC,2847744
nhaA,Na(+):H(+) antiporter NhaA,944758
nhaR,DNA-binding transcriptional activator NhaR,944757
insB1,IS1 family protein InsB,944743
insA1,IS1 family protein InsA,948449
rpsT,30S ribosomal subunit protein S20,944759
yaaY,DUF2575 domain-containing protein YaaY,949128
ribF,bifunctional riboflavin kinase/FMN adenylyltransferase,949129
ileS,isoleucine--tRNA ligase,944761
lspA,lipoprotein signal peptidase,944800
fkpB,peptidyl-prolyl cis-trans isomerase FkpB,944807
ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,944777
rihC,ribonucleoside hydrolase RihC,944796
dapB,4-hydroxy-tetrahydrodipicolinate reductase,944762
carA,carbamoyl-phosphate synthetase small subunit,949025
carB,carbamoyl-phosphate synthetase large subunit,944775
caiF,DNA-binding transcriptional activator CaiF,944795
caiE,putative transferase CaiE,948999
caiD,crotonobetainyl-CoA hydratase,948995
caiC,carnitine--CoA ligase,944886
caiB,gamma-butyrobetainyl-CoA:carnitine CoA transferase,948997
caiA,crotonobetainyl-CoA reductase,949064
caiT,L-carnitine:gamma-butyrobetaine antiporter,944765
fixA,putative electron transfer flavoprotein FixA,947316
fixB,putative electron transfer flavoprotein FixB,948939
fixC,putative oxidoreductase FixC,948958
fixX,putative ferredoxin FixX,948590
yaaU,putative transporter YaaU,944766
kefF,regulator of KefC-mediated potassium transport and quinone oxidoreductase,944767
kefC,K(+) : H(+) antiporter KefC,944773
folA,dihydrofolate reductase,944790
apaH,diadenosine tetraphosphatase,944770
apaG,DUF525 domain-containing protein ApaG,944772
rsmA,16S rRNA (A(1518)/A(1519))-N(6)-dimethyltransferase,944939
pdxA,4-hydroxythreonine-4-phosphate dehydrogenase,944919
surA,chaperone SurA,944812
lptD,lipopolysaccharide assembly protein LptD,945011
djlA,co-chaperone protein DjlA,948992
yabP,putative uncharacterized protein YabP,945039
yabQ,protein YabQ,38094933
rluA,23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase,946262
rapA,RNA polymerase-binding ATPase and RNAP recycling factor,948523
polB,DNA polymerase II,944779
araD,L-ribulose-5-phosphate 4-epimerase AraD,945294
araA,L-arabinose isomerase,947511
araB,ribulokinase,946017
araC,DNA-binding transcriptional dual regulator AraC,944780
yabI,DedA family protein YabI,944783
thiQ,thiamine ABC transporter ATP binding subunit,944785
thiP,thiamine ABC transporter membrane subunit,944784
thiB,thiamine ABC transporter periplasmic binding protein,946306
sgrR,DNA-binding transcriptional dual regulator SgrR,944788
sgrT,PtsG glucose transporter inhibitor,7751624
setA,sugar exporter SetA,944793
leuD,3-isopropylmalate dehydratase subunit LeuD,945642
leuC,3-isopropylmalate dehydratase subunit LeuC,945076
leuB,3-isopropylmalate dehydrogenase,944798
leuA,2-isopropylmalate synthase,947465
leuL,leu operon leader peptide,946072
leuO,DNA-binding transcriptional dual regulator LeuO,949034
yabR,protein YabR,38094934
ilvI,acetolactate synthase/acetohydroxybutanoate synthase, catalytic subunit,948793
ilvH,acetolactate synthase/acetohydroxybutanoate synthase, regulatory subunit,947267
cra,DNA-binding transcriptional regulator Cra,944804
mraZ,DNA-binding transcriptional repressor MraZ,944810
rsmH,16S rRNA m(4)C1402 methyltransferase,944806
ftsL,cell division protein FtsL,944803
ftsI,peptidoglycan DD-transpeptidase FtsI,944799
murE,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase,944791
murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,944813
mraY,phospho-N-acetylmuramoyl-pentapeptide-transferase,944814
murD,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,944818
ftsW,peptidoglycan glycosyltransferase FtsW,946322
murG,N-acetylglucosaminyl transferase,946321
murC,UDP-N-acetylmuramate--L-alanine ligase,946153
ddlB,D-alanine--D-alanine ligase B,946324
ftsQ,cell division protein FtsQ,944823
ftsA,cell division protein FtsA,944778
ftsZ,cell division protein FtsZ,944786
lpxC,UDP-3-O-acyl-N-acetylglucosamine deacetylase,944816
secM,SecA translation regulator,944831
secA,protein translocation ATPase,944821
mutT,8-oxo-dGTP diphosphatase,944824
yacG,DNA gyrase inhibitor YacG,945630
zapD,cell division factor ZapD,944873
